edad;sexo;cabeza_de_hogar;caracterizacion_ciudadano;tipo_de_emprendimiento;idea_de_negocio;estrato;barrio_vereda_ciudadano;comuna_ciudadano;zona_ciudadano;fecha_de_beneficio_dia;fecha_de_beneficio_mes;"fecha_de_beneficio_año"
38;femenino;no;emprendedor;artesanias;aluminio, vidrio y madera /;3;belen;16-belen;sur-occidental;17;10;2018.0
48;femenino;"";"";"";"";"";boyaca;05-castilla;nor-occidental;17;10;2018.0
49;femenino;no;emprendedor;artesanias;aluminio, cuadros en estuco, pesebres en estuco, tendidos en patchwork, cerámica;2;belen;16-belen;sur-occidental;17;10;2018.0
64;femenino;si;empresaria;basica;arte;3;otro;99-otro;otro;17;10;2018.0
57;femenino;no;emprendedor;artesanias;tejeduria / chaquetones, ponchos, capas de verano, kimonos con mangas tejidas, chaquetas, faldas, cuellos bufandas y bufandas circular, ropa hogar;4;laureles;11-laureles estadio;centro-occidental;17;10;2018.0
34;femenino;no;emprendedor;artesanias;marroquineria / accesorios, bolsos;3;otro;99-otro;otro;17;10;2018.0
58;masculino;si;empresaria;"";orfebrería, resina, flores inmortalizadas;3;campo valdes no.2;03-manrique;nor-oriental;17;10;2018.0
49;femenino;no;emprendedor;artesanias;tejeduria / lana, hilo, zapatos, ruanas, chalinas;3;robledo;07-robledo;nor-occidental;17;10;2018.0
26;femenino;no;emprendedor;artesanias;bisoteria;3;la floresta;12-la américa;centro-occidental;17;10;2018.0
72;femenino;no;empresaria;basica;orfebre / plata;5;el velodromo;11-laureles estadio;centro-occidental;17;10;2018.0
51;femenino;no;emprendedor;artesanias;muñecas de trapo;5;estadio;11-laureles estadio;centro-occidental;17;10;2018.0
37;femenino;"";"";"";"";"";manrique central no.2;03-manrique;nor-oriental;17;10;2018.0
24;femenino;no;emprendedor;artesanias;bisuteria, agendas, carteras, empaques, percheros, porta lapiceros;3;san antonio de prado;80-corregimiento de san antonio de prado;sur-occidental;17;10;2018.0
31;femenino;no;emprendedor;artesanias;tejeduria y bordado / zapatos bolsos;2;san antonio de prado;80-corregimiento de san antonio de prado;sur-occidental;17;10;2018.0
29;femenino;"";"";artesanias;croche , bolsos y accesorios en tejido;"";laureles;11-laureles estadio;centro-occidental;17;10;2018.0
24;masculino;no;emprendedor;artesanias;tejidos y manualidades;3;campo valdes no.2;03-manrique;nor-oriental;17;10;2018.0
36;femenino;"";"";artesanias;crochet, macrame, contry, oleo/articulos decorativos para el hogar;"";carlos e. restrepo;05-castilla;nor-occidental;17;10;2018.0
57;femenino;no;emprendedor;artesanias;prospero: muñecos de trapo cocidos a mano / bisutería: collares, pulseras, aretas, llaveros. / arte de la filigrana con papel: tarjetas, pesebres;4;los colores;11-laureles estadio;centro-occidental;17;10;2018.0
56;femenino;no;emprendedor;artesanias;lencería y decoración personalizada;2;aranjuez;04-aranjuez;nor-oriental;17;10;2018.0
54;femenino;si;emprendedor;artesanias;arte en papel recuperado;4;belen;16-belen;sur-occidental;17;10;2018.0
52;femenino;"";"";"";bisoteria y manualidades, tallerista;"";otro;99-otro;otro;17;10;2018.0
56;femenino;si;emprendedor;artesanias;accesorios, lenceria / confeccion, artesanias hechas a mano;3;belen;16-belen;sur-occidental;17;10;2018.0
48;femenino;si;emprendedor;artesanias;articulos en cuero ;2;boston;10-la candelaria;centro-oriental;17;10;2018.0
48;femenino;no;emprendedor;artesanias;versatilidad de un mismo accesorio en todo momento, tejidos en macrame y elaborados en bronce con baño de oro como aretes,pulseras, collares y anillos ;4;florida nueva;11-laureles estadio;centro-occidental;17;10;2018.0
57;femenino;si;emprendedor;artesanias;scrapbook como la técnica de personalizar diseños a través del papel, que permite revalorizar los recuerdos con papel. a través de diseños exclusivos y únicos aplicados a diferentes  temáticas. el scrapbook conecta la artesanía con los recuerdos, las vivencias y las emociones.;3;la loma de los bernal;16-belen;sur-occidental;17;10;2018.0
57;femenino;"";"";artesanias;manualidades, papel recuperado/botas y flores en botellas reciclables;"";moravia;04-aranjuez;nor-oriental;17;10;2018.0
53;femenino;"";"";"";"";"";manrique central no.2;03-manrique;nor-oriental;17;10;2018.0
57;femenino;"";"";"";pasword / tela, madera;"";trinidad;15-guayabal;sur-occidental;17;10;2018.0
