"";"WMT.Adjusted";"PG.Adjusted";"NFLX.Adjusted";"KO.Adjusted";"JNJ.Adjusted"
"139";113,570587;119,699867;296,779999;53,773643;126,550667
"140";113,749786;118,761475;293,75;53,763874;126,669083
"141";114,128082;119,877678;289,290009;54,017849;127,044075
"142";115,392418;121,705078;291,519989;54,476948;127,162491
"143";114,924515;121,260574;293,25;53,842022;126,886185
"144";114,21769;121,369232;290,170013;53,949471;126,521065
"145";115,810539;120,67778;294,339996;53,255932;125,277649
"146";115,531792;118,415741;287,98999;53,138718;127,843407
"147";115,501923;119,788765;288,269989;53,500134;129,442062
"148";116,397903;121,270447;288,859985;53,832253;128,711792
"149";116,905632;120,628387;294,149994;53,389473;129,057205
"150";115,053932;118,287338;294,290009;53,094284;127,833527
"151";115,989738;119,680115;298,600006;53,369793;127,961823
"152";116,636841;119,927063;291,559998;53,359951;128,692078
"153";116,587059;120,411079;286,600006;53,645302;128,396027
"154";116,457642;120,746918;270,75;53,045086;129,915741
"155";117,09478;121,714958;265,920013;53,271397;130,004547
"156";117,8713;122,100189;254,589996;53,428833;129,817062
"157";117,940987;121,517395;264,75;53,300915;129,264435
"158";117,771744;122,791634;263,309998;53,517384;127,152641
"159";117,921074;123,048462;263,079987;53,438671;126,90593
"160";118,150047;122,860779;267,619995;53,566586;127,675644
"161";117,323753;122,337257;269,579987;53,773216;128,277618
"162";115,601479;119,601089;268,029999;52,228405;130,261124
"163";115,790627;120,253021;268,149994;52,976212;129,461807
"164";117,63237;122,485428;272,790009;53,664982;131,899261
"165";116,706528;121,339592;274,459991;53,00573;131,405853
"166";117,054962;119,452919;270,720001;52,720387;130,103241
"167";118,398933;120,490105;267,529999;52,966373;127,517754
"168";119,075897;120,450592;280,480011;52,799099;127,359856
"169";119,703079;119,61097;282,929993;52,444874;129,59996
"170";118,637856;118,583672;285,529999;52,444874;128,997986
"171";118,996246;115,768478;284,25;52,651505;131,090073
"172";118,886742;116,094452;286,279999;52,631828;133,389374
"173";119,304863;115,941261;293,350006;52,927013;134,37619
"174";118,607994;116,776299;275,299988;53,901131;126,017769
"175";119,205307;118,376793;278,049988;53,359951;126,333565
"176";119,046028;121,458488;266,690002;52,98605;127,498009
"177";118,817055;122,273643;271,269989;53,763374;128,188797
"178";118,568169;124,053078;271,5;53,733856;125,820412
"179";118,508438;122,522171;276,820007;52,887653;126,659218
"180";118,687637;122,750816;281,859985;52,710541;127,478279
"181";116,626877;122,870102;281,209991;52,553108;127,41906
"182";117,572632;124,202194;291,450012;53,074604;131,090073
"183";116,736389;123,774727;287,410004;53,556744;130,300598
"184";117,09478;123,138512;286,809998;53,035248;129,471664
"185";117,045006;118,366852;292,859985;52,287441;128,514435
"186";118,329247;118,197861;288,029999;51,578991;128,70195
"187";118,966385;119,609474;288,589996;51,952896;129,234833
"188";119,69313;118,913605;289,570007;51,451077;129,698624
"189";118,906654;118,993126;291,570007;51,37236;131,247955
"190";118,508438;118,62532;294,179993;51,008297;130,241394
"191";118,588081;118,565666;292,01001;50,880383;129,61969
"192";120,439781;119,937523;283,109985;51,569153;129,540756
"193";120,111252;119,788406;289,619995;51,785625;129,234833
"194";118,339203;119,828171;295,029999;51,824978;133,162415
"195";119,713036;121,170197;302,570007;52,179203;133,053848
"196";119,354645;120,702972;302,600006;52,228405;133,043976
"197";118,598038;121,567841;305,160004;52,366158;134,149231
"198";119,324776;119,629349;311,690002;52,110329;134,642654
"199";118,827011;119,579651;310,480011;52,179203;136,251175
"200";118,388969;119,798347;315,549988;52,366158;136,310776
"201";118,657768;121,538017;312,48999;53,035248;136,300858
"202";118,229691;121,04097;315,929993;53,084446;136,877182
"203";118,558212;121,339195;314,660004;52,935753;136,618835
"204";118,747368;121,9953;309,98999;53,282707;136,489655
"205";118,140091;122,223938;306,160004;53,332272;136,290924
"206";118,160004;123,794609;304,320007;53,818012;138,496857
"207";118,660004;123,884079;302,859985;53,71888;138,675705
"208";119,779999;123,456619;307,350006;53,94688;139,490524
"209";119,360001;124,132607;302,5;53,599926;139,609756
"210";119,139999;123,53614;293,119995;53,302532;139,102997
"211";119;123,923843;298,929993;53,480968;140,086716
"212";119,760002;123,834373;298,440002;53,669315;140,444427
"213";120,290001;124,729057;298,5;53,94688;140,484177
"214";120,540001;124,818527;304,209991;53,94688;140,891571
"215";121,279999;124,57;315,480011;53,94688;142,65036
"216";119,860001;123,277679;320,799988;53,441315;142,282715
"217";120,080002;124,182304;332,220001;53,847752;144,429031
"218";120,290001;124,619705;336,899994;54,492104;145,134521
"219";119,029999;124,162422;333,100006;54,432621;145,512115
"220";119,510002;124,480537;333,200012;54,23436;145,005341
"221";119,519997;124,480537;332,630005;54,541668;144,905991
"222";119,589996;125,34539;329,089996;54,868797;144,826492
"223";119,400002;123,734962;323,309998;54,789494;144,379349
"224";118,839996;124,162422;323,570007;54,868797;144,945724
"225";118,940002;122,681229;329,809998;54,511929;145,04509
"226";117,889999;121,856125;325,899994;54,214535;143,365799
"227";117,650002;122,025124;335,829987;54,194706;143,186951
"228";116,559998;121,269608;330,75;53,778362;144,061356
"229";116,160004;121,786537;339,26001;53,877491;144,041504
"230";117,360001;123,118622;335,660004;54,858883;144,468765
"231";116,379997;123,237915;329,049988;55,04723;144,140854
"232";115,879997;124,14254;338,920013;55,642017;144,77681
"233";116,18;123,953667;338,690002;55,513145;145,591614
"234";115,279999;125,216164;339,070007;56,207062;146,078506
"235";115,900002;125,325516;338,619995;56,326015;147,260956
"236";114,959999;125,663513;339,670013;56,444973;148,224823
"237";115,589996;125,34539;338,109985;56,672974;148,324188
"238";116,099998;125,564095;326;57,10915;147,310654
"239";115,809998;124,989998;349,600006;57,32724;147,588867
"240";114,370003;125,139999;353,160004;57,178539;147,380219
"241";115,860001;125,690002;342,880005;56,980278;147,80748
"242";116,599998;126,029999;348,519989;56,514362;148,552734
"243";115,889999;125,059998;343,160004;56,514362;149,586136
"244";116,580002;125,949997;347,73999;58,348282;149,407272
"245";114,489998;124,620003;345,089996;57,892284;147,926712
"246";114,269997;125,110001;358;58,070717;149,218475
"247";115,269997;125,660004;369,01001;58,328457;150,639435
"248";116,809998;126,809998;369,670013;58,338367;153,014282
"249";116,309998;127,139999;366,950012;58,477154;152,55719
"250";116,449997;126,080002;366,769989;58,675411;150,927582
"251";115,25;126,169998;371,070007;59,230545;150,897781
"252";115,400002;124,160004;373,690002;59,071938;151,026962
"253";115,849998;123,449997;380,01001;58,893501;150,132645
"254";117,440002;124,959999;381,399994;59,091763;149,138992
"255";117,889999;126,139999;380,399994;59,428806;149,178741
"256";119,629997;124,870003;387,779999;59,012455;148,195007
"257";117,68;125,440002;386,190002;59,25037;147,996277
"258";117,690002;126,580002;386;59,200806;147,429886
"259";118,580002;126,699997;380,070007;59,607243;148,979996
"260";116,32;123,300003;368,700012;58,14011;145,910004
"261";114,389999;121,43;360,089996;57,317322;144,649994
"262";113,779999;120,160004;379,23999;57,099236;143,679993
"263";110,400002;113,5;371,709991;54,45245;139,119995
"264";107,68;113,230003;369,029999;53,024971;134,479996
"265";115,879997;119,559998;381,049988;55,433842;140,020004
"266";112,910004;118,169998;368,769989;55,572628;135,589996
"267";116,769997;124,5;383,790009;58,407757;143,479996
"268";115,919998;121,629997;372,779999;56,246716;142,009995
"269";117,230003;121,660004;368,970001;54,779579;142,029999
"270";117,160004;116,059998;346,48999;51,409138;136,440002
"271";119,790001;120,550003;364,130005;53,193489;141,639999
"272";114,43;111,589996;349,920013;51,756096;131,800003
"273";104,050003;101,839996;315,25;46,75;125,410004
"274";114,099998;114,07;336,299988;48,470001;134,289993
"275";106,760002;108,5;298,839996;45,259998;127,129997
