Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;BOLIVAR;CARTAGENA-BOLIVAR;3115577;3897413;-781836;190586;;1514149;457991;;-2563390;;;1706164;1389269;;;;;-2246495;-252729;-1993766;;-1993766
J6190 - Otras actividades de telecomunicaciones;BOGOTA D.C.;BOGOTA D.C.;175576638;49536892;126039746;9129972;;74864599;9181638;;51123481;;;294433;11572220;;;;;39845694;15273003;24572691;;24572691
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;BOLIVAR;CARTAGENA-BOLIVAR;114855309;83162810;31692499;17338339;16245046;6501942;18488873;;7794977;;;34974;4782159;;;;;3047792;1748159;1299633;;1299633
C2229 - Fabricación de artículos de plástico n.c.p.;BOLIVAR;CARTAGENA-BOLIVAR;18889555;15193048;3696507;662083;3273653;2896152;319773;;-2130988;;;1765767;3138086;;;;;-3503307;12871;-3516178;;-3516178
"G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos";BOGOTA D.C.;BOGOTA D.C.;227001641;194053853;32947788;;10205551;7050414;451716;-1669816;13570291;;;4681287;13222199;;;;;5029379;1926703;3102676;;3102676
C1104 - Elaboración de bebidas no alcohólicas, producción de aguas minerales y de otras aguas embotelladas;TOLIMA;MARIQUITA-TOLIMA;144527137;89487364;55039773;705028;32091591;5865854;276549;;17510807;;;854459;10427256;;;;;7938010;4117605;3820405;;3820405
G4669 - Comercio al por mayor de otros productos n.c.p.;VALLE;CALI-VALLE;63552602;56486935;7065667;77255;948187;2343090;164279;0;3687366;;;6630;469298;;;;;3224698;1054741;2169957;;2169957
N8299 - Otras actividades de servicio de apoyo a las empresas n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;1454022;;1454022;;11923;519047;;-270280;652772;;;;;;;;;652772;328755;324017;;324017
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;85328060;80934886;4393174;7929959;4257068;5167931;596449;;2301685;;;39328;1149734;;;;;1191279;447756;743523;;743523
B0729 - Extracción de otros minerales metalíferos no ferrosos n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;228618796;119866189;108752607;296778;18505085;6796681;9629416;;74118203;;;6968752;12073877;;;;;69013078;21431493;47581585;;47581585
B0722 - Extracción de oro y otros metales preciosos;ANTIOQUIA;MEDELLIN-ANTIOQUIA;;;;1304325;;11997;;;1292328;;;;1558842;;;;;-266514;5694;-272208;;-272208
C2392 - Fabricación de materiales de arcilla para la construcción;ANTIOQUIA;MEDELLIN-ANTIOQUIA;6932625;4141599;2791026;107981;319897;2213505;110884;;254721;;;23497;35766;;;;;242452;178952;63500;;63500
M7020 - Actividades de consultaría de gestión;ANTIOQUIA;MEDELLIN-ANTIOQUIA;111601052;76876992;34724060;1595015;;34094422;213341;;2011312;;;367925;39597;;;;;2339640;785923;1553717;;1553717
G4752 - Comercio al por menor de artículos de ferretería, pinturas y productos de vidrio en establecimientos especializados;ANTIOQUIA;MEDELLIN-ANTIOQUIA;22755586;19634620;3120966;107708;408691;1415232;185701;0;1219050;0;0;75441;107331;0;0;0;0;1187160;368453;818707;0;818707
G4772 - Comercio al por menor de todo tipo de calzado y artículos de cuero y sucedáneos del cuero en establecimientos especializados;ANTIOQUIA;MEDELLIN-ANTIOQUIA;24815956;12066599;12749357;;12744773;1475123;;;-1470539;;;1544539;1607271;;;;;-1533271;-474336;-1058935;;-1058935
K6499 - Otras actividades de servicio financiero, excepto las de seguros y pensiones n.c.p.;ANTIOQUIA;ENVIGADO-ANTIOQUIA;40786705;;40786705;616323;;31364631;921601;;9116796;;;18127;2078850;;;;;7056073;2444036;4612037;;4612037
C2421 - Industrias básicas de metales preciosos;ANTIOQUIA;MEDELLIN-ANTIOQUIA;740333160;724064207;16268953;16192906;;4377009;24396929;;3687921;;;;;;;;;3687921;1350044;2337877;;2337877
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;22334434;18626831;3707603;397686;;2853855;450503;;800931;;;;;;;;;800931;160622;640309;;640309
G4631 - Comercio al por mayor de productos alimenticios;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;79442266;58807047;20635219;878237;10488378;3873271;263106;;6888701;;;161884;1751370;;;;;5299215;1872271;3426944;;3426944
G4511 - Comercio de vehículos automotores nuevos;ANTIOQUIA;MEDELLIN-ANTIOQUIA;176680982;159023054;17657928;4300479;13372200;3638967;328347;;4618893;;;15211;3412980;;;;;1221124;415375;805749;;805749
G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;63211374;39264759;23946615;2279221;10892492;6427664;380959;;8524721;;;3809565;7498576;;;;;4835710;1301184;3534526;;3534526
C2740 - Fabricación de equipos eléctricos de iluminación;ANTIOQUIA;MEDELLIN-ANTIOQUIA;2567304;1501885;1065419;116150;593354;440521;28934;;118760;0;0;17752;121252;0;0;0;0;15260;4883;10377;0;10377
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;8467602;6658668;1808934;2322;;1273082;311038;;227136;;;;;;;;;227136;80346;146790;;146790
C1410 - Confección de prendas de vestir, excepto prendas de piel;ANTIOQUIA;MEDELLIN-ANTIOQUIA;61206417;31998212;29208205;3665785;20615355;15732055;1277661;;-4751081;;;119663;4331862;;;;;-8963280;-1247098;-7716182;;-7716182
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;180251;133862;46389;5268;;32327;4159;-9367;5804;;;63257;108151;;;;;-39090;-55952;16862;;16862
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;ANTIOQUIA;MEDELLIN-ANTIOQUIA;26647268;18935917;7711351;165093;;5759719;186568;;1930157;;;24280;39903;;;;;1914534;1121965;792569;;792569
"C1511 - Curtido y recurtido de cueros; recurtido y teñido de pieles";ANTIOQUIA;MEDELLIN-ANTIOQUIA;8020019;3506117;4513902;567946;2044604;1748347;795286;;493611;;;258391;1980851;;;1999999;;771150;-43868;815018;;815018
C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;ANTIOQUIA;SABANETA-ANTIOQUIA;1015570;460930;554640;1782894;116171;1475960;624112;55633;176924;;;67609;845260;;;;;-600727;-15219;-585508;;-585508
C1610 - Aserrado, acepillado e impregnación de la madera;ANTIOQUIA;MEDELLIN-ANTIOQUIA;14791710;14031716;759994;;899111;1102726;;;-1241843;;;1317;189457;;;;;-1429983;48522;-1478505;;-1478505
C1410 - Confección de prendas de vestir, excepto prendas de piel;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;723472516;369153749;354318767;5248870;216361652;54949124;4970831;;83286030;;;4171467;8079816;9038851;;;;70338830;23414182;46924648;;46924648
C1399 - Fabricación de otros artículos textiles n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;23280210;18945465;4334745;435586;2879081;1811414;216686;;-136850;;;2815909;2542760;;;;;136299;53603;82696;;82696
C2599 - Fabricación de otros productos elaborados de metal n.c.p.;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;16332064;21623537;-5291473;9635505;1576339;12244959;532830;2838872;-7171224;0;0;0;8493231;0;0;0;0;-15664455;-994794;-14669661;0;-14669661
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;10613669;8969263;1644406;2222;;1263272;176206;;207150;;;;;;;;;207150;72904;134246;;134246
G4641 - Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico;ANTIOQUIA;ITAGUI-ANTIOQUIA;57372833;48674096;8698737;87123;2622814;1728539;31370;22123;4425260;;;130280;3450850;;;;;1104690;450774;653916;;653916
G4641 - Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico;ANTIOQUIA;MEDELLIN-ANTIOQUIA;156912586;129062865;27849721;888949;8729101;14264795;598689;;5146085;;;10387450;13299194;;;;;2234341;842462;1391879;;1391879
J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);ANTIOQUIA;MEDELLIN-ANTIOQUIA;39229801;30642300;8587501;2871096;1037865;5278529;256944;0;4885259;;;131759;410196;;;;;4606822;872774;3734048;;3734048
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;63776749;45617907;18158842;6971268;17069130;4323572;612393;0;3125015;;;5158598;7535257;;;;;748356;1981343;-1232987;;-1232987
C1089 - Elaboración de otros productos alimenticios n.c.p.;ANTIOQUIA;GUARNE-ANTIOQUIA;49151246;37936318;11214928;287399;5411919;1365968;607729;0;4116711;;;80904;1101679;;;;;3095936;1184543;1911393;;1911393
C1051 - Elaboración de productos de molinería;ANTIOQUIA;ITAGUI-ANTIOQUIA;391281970;300562242;90719728;206455;43816822;8160006;1659049;;37290306;;;12683162;22105518;;;;;27867950;9758003;18109947;;18109947
C2029 - Fabricación de otros productos químicos n.c.p.;ANTIOQUIA;GUARNE-ANTIOQUIA;47752571;33354228;14398343;1101881;4617345;6048956;610009;1303631;5527545;;;;1894162;;;;;3633383;1284951;2348432;;2348432
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;19708425;16170509;3537916;181016;1308529;771760;895182;;743461;;;484433;754663;;;;;473231;167761;305470;;305470
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;23135460;19514073;3621387;727219;48235;3377087;;;923284;;;3284147;3820233;;;;;387198;-283072;670270;;670270
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;ANTIOQUIA;ITAGUI-ANTIOQUIA;7875125;7117066;758059;203927;697411;29764;;;234811;;;;23624;;;;;211187;67580;143607;;143607
A0122 - Cultivo de plátano y banano;ANTIOQUIA;APARTADO-ANTIOQUIA;43671141;38217249;5453892;;1767918;3879407;;22854;-170579;;;248353;577857;;;;;-500083;-124465;-375618;;-375618
A0125 - Cultivo de flor de corte;ANTIOQUIA;RIONEGRO-ANTIOQUIA;4996566;2803175;2193391;242025;394412;704941;;;1336063;;;174365;268008;;;;;1242420;413591;828829;;828829
G4799 - Otros tipos de comercio al por menor no realizado en establecimientos, puestos de venta o mercados;ANTIOQUIA;MEDELLIN-ANTIOQUIA;891664330;515357815;376306515;;266138134;36229371;;-17466;73921544;;;77950;6014035;;;;;67985459;22806133;45179326;;45179326
G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;ANTIOQUIA;MARINILLA-ANTIOQUIA;74495536;56474451;18021085;;13607778;1327796;;961765;4047276;;;314724;1111520;;;;;3250480;1425322;1825158;;1825158
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;;;;1838564;;257033;15604;;1565927;;;10;1146;;;;;1564791;444;1564347;0;1564347
F4111 - Construcción de edificios residenciales;ANTIOQUIA;LA-CEJA-ANTIOQUIA;25570662;21755474;3815188;202944;877260;1655982;205737;;1279153;;;29688;728252;;;;;580589;198944;381645;;381645
"G4620 - Comercio al por mayor de materias primas agropecuarias; animales vivos";ANTIOQUIA;MEDELLIN-ANTIOQUIA;253103791;241040401;12063390;8579202;8281929;1045983;5216179;;6098501;;;;;;;;;6098501;427864;5670637;;5670637
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;32382986;30696434;1686552;220784;10940;559391;387449;;949556;;;39267;718131;;;;;270692;203897;66795;;66795
C1040 - Elaboración de productos lácteos;ANTIOQUIA;RIONEGRO-ANTIOQUIA;202116448;165080441;37036007;294863;12436963;5234848;580548;;19078511;;;386859;3377592;;;;;16087778;4204962;11882816;;11882816
G4649 - Comercio al por mayor de otros utensilios domésticos n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;22436028;17863572;4572456;302333;2409768;0;979772;0;1485249;0;0;0;0;0;0;0;0;1485249;456654;1028595;0;1028595
G4631 - Comercio al por mayor de productos alimenticios;ANTIOQUIA;ITAGUI-ANTIOQUIA;49503303;39851673;9651630;1935036;4108477;1224233;3025297;;3228659;;;;;;;;;3228659;1040093;2188566;;2188566
C2431 - Fundición de hierro y de acero;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;12412361;11222057;1190304;0;1029783;1251440;21998;600783;-512134;0;0;1063232;1011906;-4769;0;0;0;-456039;-432135;-23904;0;-23904
C3315 - Mantenimiento y reparación especializado de equipo de transporte, excepto los vehículos automotores, motocicletas y bicicletas;ANTIOQUIA;MEDELLIN-ANTIOQUIA;7334955;8969629;-1634674;75859;0;689029;66487;0;-2314331;0;0;0;98408;0;0;0;0;-2412739;-31222;-2381517;0;-2381517
G4663 - Comercio al por mayor de materiales de construcción, artículos de ferretería, pinturas, productos de vidrio, equipo y materiales de fontanería y calefacción;ANTIOQUIA;MEDELLIN-ANTIOQUIA;12171077;10291932;1879145;161708;1051685;594356;186300;-466693;-258181;;;13001;133161;;;;;-378341;175069;-553410;;-553410
A0125 - Cultivo de flor de corte;ANTIOQUIA;LA-CEJA-ANTIOQUIA;4953868;3940278;1013590;544019;312270;503969;669952;;71418;;;;;;;;;71418;29940;41478;;41478
C1051 - Elaboración de productos de molinería;ANTIOQUIA;SABANETA-ANTIOQUIA;51247320;45770980;5476340;1818949;2290228;1608582;36703;;3359776;;;1058057;1738412;;;;;2679421;315173;2364248;;2364248
G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico;ANTIOQUIA;MEDELLIN-ANTIOQUIA;3266405;2782810;483595;384147;543984;445478;9916;;-131636;;;87240;343623;;;;;-388019;6469;-394488;;-394488
F4111 - Construcción de edificios residenciales;ANTIOQUIA;ENVIGADO-ANTIOQUIA;130893921;122524421;8369500;5329134;2428235;8306411;786360;;2177628;;;193063;1425903;;;;;944788;315464;629324;;629324
G4755 - Comercio al por menor de artículos y utensilios de uso doméstico;ANTIOQUIA;MEDELLIN-ANTIOQUIA;55781366;27484002;28297364;2098230;20012004;4283464;138389;;5961737;;;555561;3080654;;;;;3436644;1043804;2392840;;2392840
G4610 - Comercio al por mayor a cambio de una retribución o por contrata;ANTIOQUIA;MEDELLIN-ANTIOQUIA;4904918;3688585;1216333;20716;419448;520324;62589;128000;362688;;;55765;173073;;;;;245380;24425;220955;;220955
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;ANTIOQUIA;APARTADO-ANTIOQUIA;6516;;6516;25099;;50603;60;;-19048;;;9963;5264;;;;;-14349;1616;-15965;;-15965
C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;ANTIOQUIA;LA-ESTRELLA-ANTIOQUIA;127673955;83766622;43907333;1118160;15126732;10537976;806368;;18554417;0;0;2921519;17116316;0;0;0;0;4359620;5279805;-920185;0;-920185
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;54513939;49046670;5467269;1596435;1777663;2143148;1060882;;2082011;;-46871;599838;731020;;;;;1903958;882469;1021489;;1021489
J6201 - Actividades de desarrollo de sistemas informáticos (planificación, análisis, diseño, programación, pruebas);ANTIOQUIA;MEDELLIN-ANTIOQUIA;7028600;5247194;1781406;;1357140;221414;;;202852;;;;;;;;;202852;;202852;;202852
F4111 - Construcción de edificios residenciales;ANTIOQUIA;MEDELLIN-ANTIOQUIA;666756;550100;116656;32167;717;46784;38340;;62982;;;119;18099;;;;;45002;18268;26734;;26734
G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;ANTIOQUIA;MEDELLIN-ANTIOQUIA;134428491;106638397;27790094;;20520896;2972014;;;4297184;;;1766522;2712294;;;;;3351412;888962;2462450;;2462450
K6619 - Otras actividades auxiliares de las actividades de servicios financieros n.c.p.;ANTIOQUIA;MEDELLIN-ANTIOQUIA;4652126;0;4652126;199598;6931;5965294;114468;;-1234969;0;0;0;35077;0;0;0;0;-1270046;-340450;-929596;;-929596
G4659 - Comercio al por mayor de otros tipos de maquinaria y equipo n.c.p.;ANTIOQUIA;ITAGUI-ANTIOQUIA;33559644;15581383;17978261;;;2887090;8333475;;6757696;;;3998143;7666531;;;;;3089308;401147;2688161;;2688161
C1410 - Confección de prendas de vestir, excepto prendas de piel;ANTIOQUIA;RIONEGRO-ANTIOQUIA;20782573;13770309;7012264;;3424464;1407106;;84457;2265151;;;70710;248822;;;;;2087039;492122;1594917;;1594917
C1311 - Preparación e hilatura de fibras textiles;ANTIOQUIA;RIONEGRO-ANTIOQUIA;80810044;67964023;12846021;936177;901749;1621901;2433973;;8824575;;;1673347;2236669;;;;;8261253;2013447;6247806;;6247806
C1410 - Confección de prendas de vestir, excepto prendas de piel;ANTIOQUIA;MEDELLIN-ANTIOQUIA;11154691;7804534;3350157;743927;2745748;1391032;701110;439682;-304124;;;68829;274285;;;;;-509580;4104;-513684;;-513684
G4690 - Comercio al por mayor no especializado;ANTIOQUIA;ITAGUI-ANTIOQUIA;26892446;19543790;7348656;132779;2032741;742238;27699;;4678757;;;581295;1496453;;;;;3763599;1249356;2514243;;2514243
M7110 - Actividades de arquitectura e ingeniería y otras actividades conexas de consultoría técnica;ANTIOQUIA;MEDELLIN-ANTIOQUIA;31473088;26073503;5399585;187361;388408;2224591;124702;;2849245;;;693936;370265;-2055675;;;;5228591;1886365;3342226;;3342226
M7310 - Publicidad;BOGOTA D.C.;BOGOTA D.C.;7972782;4966765;3006017;387910;1615374;1627429;405116;;-253992;0;0;1052;50153;0;0;0;0;-303093;194980;-498073;0;-498073
G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;ANTIOQUIA;MEDELLIN-ANTIOQUIA;12831807;9414256;3417551;108992;1477339;1068431;116451;;864322;0;245587;473209;350816;82119;0;0;0;1150183;384686;765497;;765497
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;8974690;7801137;1173553;30224;;933132;33415;;237230;;;;;;;;;237230;73320;163910;;163910
G4771 - Comercio al por menor de prendas de vestir y sus accesorios (incluye artículos de piel) en establecimientos especializados;ANTIOQUIA;ITAGUI-ANTIOQUIA;13644066;9146897;4497169;103028;3537318;97934;953648;;11297;;;699352;329932;;;;;380717;200093;180624;;180624
G4711 - Comercio al por menor en establecimientos no especializados con surtido compuesto principalmente por alimentos, bebidas o tabaco;ANTIOQUIA;ITAGUI-ANTIOQUIA;414219785;326459104;87760681;7142089;73350136;4428051;450596;;16673987;;;331535;6916845;;;;;10088677;2140488;7948189;;7948189
A0122 - Cultivo de plátano y banano;ANTIOQUIA;APARTADO-ANTIOQUIA;17688856;11812026;5876830;363500;1203033;1486009;985375;;2565913;;;53143;156172;;;;;2462884;744577;1718307;;1718307
A0150 - Explotación mixta (agrícola y pecuaria);CORDOBA;CIENAGA-DE-ORO-CORDOBA;4223106;3240660;982446;894810;923;749633;32497;;1094203;;;251;9913;;;;;1084541;;1084541;;1084541
G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios;CORDOBA;MONTERIA-CORDOBA;11555019;9413914;2141105;276168;1161737;1300274;214191;;-258929;;;112;287420;;;;;-546237;-21774;-524463;;-524463
G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios;BOGOTA D.C.;BOGOTA D.C.;9256404;7210081;2046323;1819827;270720;2336800;664610;;594020;;;14605;240921;;;;;367704;;367704;816160;1183864
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;SANTANDER;BUCARAMANGA-SANTANDER;2866053;0;2866053;35386;0;2558763;40885;-50169;251622;0;0;157216;323218;0;0;0;0;85620;75992;9628;0;9628
G4651 - Comercio al por mayor de computadores, equipo periférico y programas de informática;CUNDINAMARCA;COTA-CUNDINAMARCA;150341131;133772077;16569054;3314114;5824810;3705741;1850706;;8501911;;;697607;1729088;;;;;7470430;2571190;4899240;;4899240
B0910 - Actividades de apoyo para la extracción de petróleo y de gas natural;PUTUMAYO;ORITO-PUTUMAYO;28238771;24003592;4235179;419600;;2884733;253456;;1516590;;;162996;1169382;;;;;510204;312712;197492;;197492
G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios;NARINO;PASTO-NARINO;15671376;12597821;3073555;102225;1326715;1277752;119890;;451423;;;408;105262;;;;;346569;100826;245743;;245743
L6810 - Actividades inmobiliarias realizadas con bienes propios o arrendados;VALLE;PALMIRA-VALLE;2077769;;2077769;890915;1756846;50256;27282;;1134300;;;683;2101;;;;;1132882;131887;1000995;;1000995
C1399 - Fabricación de otros artículos textiles n.c.p.;VALLE;PALMIRA-VALLE;258472413;184762986;73709427;522363;18467698;4063133;112857;0;51588102;0;0;1157769;682501;0;0;0;0;52063370;10362773;41700597;0;41700597
C2012 - Fabricación de abonos y compuestos inorgánicos nitrogenados;VALLE;PALMIRA-VALLE;46318825;34004057;12314768;470243;3796358;2510890;413402;;6064361;;;;1350047;;;;;4714314;1203714;3510600;;3510600
C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;VALLE;CALI-VALLE;62836860;34267769;28569091;;325839;422491;397881;160035;27582915;;;6296;3925;;;;;27585286;4086044;23499242;;23499242
C2229 - Fabricación de artículos de plástico n.c.p.;VALLE;PALMIRA-VALLE;53337801;41163631;12174170;;4844924;3060283;;;4268963;;;1851721;3499250;;;;;2621434;556811;2064623;;2064623
M6920 - Actividades de contabilidad, teneduría de libros, auditoría financiera y asesoría tributaria;RISARALDA;PEREIRA-RISARALDA;994954;;994954;12518;101860;649730;5827;;250055;;;;;;;;;250055;112613;137442;;137442
F4390 - Otras actividades especializadas para la construcción de edificios y obras de ingeniería civil;RISARALDA;PEREIRA-RISARALDA;6450397;5810124;640273;125173;;435417;2845;;327184;;;;144386;;;;;182798;122479;60319;;60319
C3290 - Otras industrias manufactureras n.c.p.;RISARALDA;PEREIRA-RISARALDA;54298719;35050710;19248009;;7802666;3267439;;;8177904;;;1358392;3237865;;;;;6298431;2076381;4222050;;4222050
G4644 - Comercio al por mayor de aparatos y equipo de uso doméstico;BOGOTA D.C.;BOGOTA D.C.;73780996;45489185;28291811;381025;14843128;3398780;858197;;9572731;;;19509966;21508008;;;;;7574689;2457773;5116916;;5116916
S9603 - Pompas fúnebres y actividades relacionadas;RISARALDA;PEREIRA-RISARALDA;24752507;10830093;13922414;127316;6222895;5529174;138265;;2159396;;;136133;375980;;;;;1919549;835798;1083751;;1083751
C1081 - Elaboración de productos de panadería;RISARALDA;DOS-QUEBRADAS-RISARALDA;50153384;36060645;14092739;324691;6998700;2489333;;-24122;4905275;;;528446;2537850;;;;;2895871;440894;2454977;;2454977
I5590 - Otros tipos de alojamiento n.c.p.;RISARALDA;SANTA-ROSA-DE-CABAL-RISARALDA;6616430;4798457;1817973;172251;163407;1003818;18802;;804197;;;6664;1016980;;;;;-206119;38879;-244998;;-244998
G4530 - Comercio de partes, piezas (autopartes) y accesorios (lujos) para vehículos automotores;RISARALDA;PEREIRA-RISARALDA;17286780;9980097;7306683;158315;3295167;2310565;79125;;1780141;;;173316;769946;;;;;1183511;419723;763788;;763788
G4541 - Comercio de motocicletas y de sus partes, piezas y accesorios;RISARALDA;PEREIRA-RISARALDA;22842068;18718056;4124012;210478;1644288;1834020;181233;;674949;;;142;428256;;;;;246835;-29715;276550;;276550
C1709 - Fabricación de otros artículos de papel y cartón;CAUCA;GUACHENE-CAUCA;593918353;390285644;203632709;198365;9657762;48907329;156470;;145109513;;;1272433;27726;;;;;146354220;29357631;116996589;;116996589
C1081 - Elaboración de productos de panadería;CAUCA;SANTANDER-DE-QUILICHAO-CAUCA;327100489;282648350;44452139;4358165;4607864;152060;82844;;43967536;;-67519;89014;2517321;;;;;41471710;5950940;35520770;;35520770
C2651 - Fabricación de equipo de medición, prueba, navegación y control;CAUCA;POPAYAN-CAUCA;24406468;18725161;5681307;234605;790978;3230007;17886;;1877041;;;5995826;7559121;;;;;313746;220635;93111;;93111
C2229 - Fabricación de artículos de plástico n.c.p.;CAUCA;SANTANDER-DE-QUILICHAO-CAUCA;31663209;27033457;4629752;104468;;238225;55777;;4440218;;;;316900;;;;;4123318;321277;3802041;;3802041
C2011 - Fabricación de sustancias y productos químicos básicos;VALLE;CALI-VALLE;167782563;137965379;29817184;18915009;9828045;511596;17285301;;21107251;;;14408542;16563980;;;;;18951813;5616621;13335192;;13335192
C2511 - Fabricación de productos metálicos para uso estructural;CAUCA;GUACHENE-CAUCA;95400805;61877668;33523137;1259615;12728347;8300197;552739;-3230878;9970591;;;21528;2785136;;;;;7206983;1667852;5539131;;5539131
C1709 - Fabricación de otros artículos de papel y cartón;CAUCA;SANTANDER-DE-QUILICHAO-CAUCA;452793676;339080093;113713583;2328854;44090155;9839665;126187;6263;61992693;;;19473377;22044965;;;;;59421105;10834094;48587011;;48587011
C2819 - Fabricación de otros tipos de maquinaria y equipo de uso general n.c.p.;CAUCA;CALOTO-CAUCA;59682693;49694593;9988100;1241452;8495980;6026525;380218;1625690;-2047481;0;0;0;0;0;0;0;0;-2047481;189862;-2237343;0;-2237343
C2100 - Fabricación de productos farmacéuticos, sustancias químicas medicinales y productos botánicos de uso farmacéutico;BOGOTA D.C.;BOGOTA D.C.;398973842;288957868;110015974;5179633;48054003;20990130;;;46151474;;;415337;;;;;;46566811;14452898;32113913;;32113913
C2829 - Fabricación de otros tipos de maquinaria y equipo de uso especial n.c.p.;ANTIOQUIA;ENVIGADO-ANTIOQUIA;;;;;;125716;;;-125716;;;3653392;1276665;;;;;2251011;108966;2142045;;2142045
C1709 - Fabricación de otros artículos de papel y cartón;CAUCA;CALOTO-CAUCA;263280035;242452541;20827494;783387;26887646;1584585;794696;;-7656046;;;103306;1934076;;;;;-9486816;-1330621;-8156195;;-8156195
C2229 - Fabricación de artículos de plástico n.c.p.;CAUCA;PUERTO-TEJADA-CAUCA;40545342;32254846;8290496;51622;;1076499;78886;;7186733;;;1035399;1320936;;;;;6901196;1438107;5463089;;5463089
C1709 - Fabricación de otros artículos de papel y cartón;CAUCA;PUERTO-TEJADA-CAUCA;323519784;335020533;-11500749;;15715372;8240020;912381;7077506;-29291016;;;;7696622;;;;;-36987638;3486334;-40473972;;-40473972
