Clasificación Industrial Internacional Uniforme Versión 4 A.C (CIIU);Departamento de la dirección del domicilio;Ciudad de la dirección del domicilio;Ingresos de actividades ordinarias;Costo de ventas;Ganancia bruta;Otros ingresos;Gastos de ventas;Gastos de administración;Otros gastos;Otras ganancias (pérdidas);Ganancia (pérdida) por actividades de operación;Diferencia entre el importe en libros de dividendos pagaderos e importe en libros de activos distribuidos distintos al efectivo;Ganancias (pérdidas) que surgen de la baja en cuentas de activos financieros medidos al costo amortizado;Ingresos financieros;Costos financieros;Deterioro de valor de ganancias y reversión de pérdidas por deterioro de valor (pérdidas por deterioro de valor) determinado de acuerdo con la NIIF 9;Ganancias (pérdidas) que surgen de diferencias entre el costo amortizado anterior y el valor razonable de activos financieros reclasificados de la categoría de medición costo amortizado a la categoría de medición de valor razonable con cambios en resultados;Ganancia (pérdida) acumulada anteriormente reconocida en otro resultado integral que surge de la reclasificación de activos financieros de la categoría de medición de valor razonable con cambios en otro resultado integral a la de valor razonable con cambios en resultados;Ganancias (pérdidas) de cobertura por cobertura de un grupo de partidas con posiciones de riesgo compensadoras;Ganancia (pérdida), antes de impuestos;Ingreso (gasto) por impuestos;Ganancia (pérdida) procedente de operaciones continuadas;Ganancia (pérdida) procedente de operaciones discontinuadas;Ganancia (pérdida)
"C2023 - Fabricación de jabones y detergentes, preparados para limpiar y pulir; perfumes y preparados de tocador";CUNDINAMARCA;TOCANCIPA-CUNDINAMARCA;1125004265;701507235;423497030;9829985;194084491;203856429;;;35386095;;;113102109;136383489;;;;;12104715;5906898;6197817;;6197817
"C1702 - Fabricación de papel y cartón ondulado (corrugado); fabricación de envases, empaques y de embalajes de papel y cartón";ANTIOQUIA;APARTADO-ANTIOQUIA;105720730;77713509;28007221;261229;1649380;5465843;237146;;20916081;;;;778879;;;;;20137202;6517698;13619504;;13619504
C2029 - Fabricación de otros productos químicos n.c.p.;BOGOTA D.C.;BOGOTA D.C.;172473322;90319138;82154184;650849;27912001;10786041;146070;;43960921;;;7586893;5336197;;;;;46211617;14649960;31561657;;31561657
I5511 - Alojamiento en hoteles;BOLIVAR;CARTAGENA-BOLIVAR;23932544;1881293;22051251;1108762;9925295;12434792;1644478;;-844552;;;1471406;2093819;;;;;-1466965;-2063079;596114;;596114
C1051 - Elaboración de productos de molinería;BOGOTA D.C.;BOGOTA D.C.;519353655;453805210;65548445;3819057;28702412;9813968;11924562;132425;19058985;0;0;4491588;0;0;0;0;0;23550573;7062198;16488375;0;16488375
"C1513 - Fabricación de artículos de viaje, bolsos de mano y artículos similares; artículos de talabartería y guarnicionería elaborados en otros materiales";BOGOTA D.C.;BOGOTA D.C.;273956793;132277705;141679088;5918187;96730672;53673120;2985596;-135120;-5927233;;;773329;15104926;;-974366;;-2387261;-23620457;2917468;-26537925;;-26537925
C2821 - Fabricación de maquinaria agropecuaria y forestal;ANTIOQUIA;SABANETA-ANTIOQUIA;35343508;26121065;9222443;158455;3856089;2340009;58617;-554359;2571824;0;0;9473317;10652252;0;0;0;0;1392889;603519;789370;;789370
A0122 - Cultivo de plátano y banano;ANTIOQUIA;MEDELLIN-ANTIOQUIA;164732037;126178901;38553136;5187388;12104039;14432973;102341;-47269;17053902;;;554057;12215676;;;;;5392283;538795;4853488;-9999;4843489
B0510 - Extracción de hulla (carbón de piedra);BOGOTA D.C.;BOGOTA D.C.;5132718058;5218961987;-86243929;107958150;0;110540750;2321674;46721559;-44426644;0;0;0;19632750;0;0;0;0;-64059394;52114984;-116174378;;-116174378
A0124 - Cultivo de caña de azúcar;VALLE;PALMIRA-VALLE;8894361;3937302;4957059;942452;;1039239;143105;;4717167;;;53294;41278;;;;;4729183;1350419;3378764;;3378764
A0125 - Cultivo de flor de corte;CUNDINAMARCA;FACATATIVA-CUNDINAMARCA;62904471;52615757;10288714;2369838;2073482;3803224;1325374;;5456472;0;0;324874;1874682;0;0;0;0;3906664;1347339;2559325;0;2559325
A0122 - Cultivo de plátano y banano;ANTIOQUIA;APARTADO-ANTIOQUIA;18543480;12692295;5851185;373747;1232516;1850796;1185788;;1955832;;;109624;357730;;;;;1707726;478327;1229399;;1229399
G4641 - Comercio al por mayor de productos textiles, productos confeccionados para uso doméstico;BOGOTA D.C.;BOGOTA D.C.;11787218;9139636;2647582;170050;363521;1557673;50113;;846325;;;;;;;;;846325;282687;563638;;563638
G4661 - Comercio al por mayor de combustibles sólidos, líquidos, gaseosos y productos conexos;BOGOTA D.C.;BOGOTA D.C.;120991574;109569983;11421591;2150529;1333666;9649033;2112168;-53442;423811;;;16731059;25800858;;;;;-8645988;-293104;-8352884;;-8352884
