estado;año_inicio_comercialización;tipo;espacio_de_comercialización;corregimiento_o_barrio;sexo;inscrito_en_cedezo;tipo_de_inscripción;comuna;productos;"vereda"
inactivo;2016;transformador;inactivo;belen;femenino;no se encuentra inscrito;directo;belen;salsas y vinagretas;"cra 75 # 31-11"
activo;2016;transformador;la presidenta;san cristobal;femenino;2. orientacion (ingreso al programa);directo;san cristobal;procesados nueces;"centralidad"
activo;2016;transformador;la presidenta;moravia;femenino;2. orientacion (ingreso al programa);directo;moravia;chocolate;"medellin"
activo;2016;productor;la presidenta;altavista;femenino;no se encuentra inscrito;directo;altavista;hortalizas;"aguas frias"
inactivo;2016;transformador;inactivo;santo domingo;femenino;2. orientacion (ingreso al programa);directo;santo domingo;canastas para picnic;"santo domingo"
inactivo;2016;transformador;inactivo;santa elena;femenino;no se encuentra inscrito;directo;santa elena;panaderia;"cerro"
activo;2016;transformador;la presidenta;la castellana;femenino;no se encuentra inscrito;directo;la castellana;miel, panaderia, pasteleria;"belen"
activo;2016;productor;la presidenta;san antonio de prado;masculino;no se encuentra inscrito;directo;san antonio de prado;productor;"parte alta"
activo;2016;transformador;la presidenta;gratamira;masculino;no se encuentra inscrito;directo;gratamira;aji deshidratado;"no dato"
activo;2016;transformador;la presidenta;santa elena;femenino;no se encuentra inscrito;directo;santa elena;poderoza (jengibre;"el llano"
activo;2016;transformador;la presidenta;santa elena;masculino;no se encuentra inscrito;directo;santa elena;tamales;"el placer"
activo;2016;transformador;la presidenta;san sebastian de palmitas;femenino;2. orientacion (ingreso al programa);directo;san sebastian de palmitas;arepas de chocolo;"parte central"
activo;2016;transformador;la presidenta;san sebastian de palmitas;femenino;2. orientacion (ingreso al programa);directo;san sebastian de palmitas;frutazo;"urquita"
activo;2016;transformador;ciudad del rio;san sebastian de palmitas;femenino;2. orientacion (ingreso al programa);directo;san sebastian de palmitas;chorizo,morcilla,arepa;"la cruz"
activo;2016;transformador;la presidenta;san antonio de prado;masculino;2. orientacion (ingreso al programa);directo;san antonio de prado;torti fruta;"la florida"
inactivo;2016;transformador;inactivo;belen;masculino;no se encuentra inscrito;directo;belen;parba;"no dato"
activo;2016;transformador;la presidenta;san cristobal;femenino;2. orientacion (ingreso al programa);directo;san cristobal;saborearte encurtidos, salsas, arepa de huevo, empanadas;"pajarito"
activo;2016;transformador;la presidenta;altavista;femenino;2. orientacion (ingreso al programa);directo;altavista;delicias del campo;"aguas frias"
inactivo;2016;transformador;inactivo;san antonio de prado;masculino;no se encuentra inscrito;directo;san antonio de prado;arepas, cuajadas y quesitos;"central"
activo;2016;productor;laureles;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;verduras;"la potrera"
inactivo;2016;transformador;inactivo;san antonio de prado;masculino;no se encuentra inscrito;directo;san antonio de prado;panaderia;"prados del este"
activo;2016;productor;laureles;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;verduras;"la potrera"
activo;2016;transformador;laureles;santa elena;femenino;no se encuentra inscrito;directo;santa elena;arepas y comida;"el mazo"
