estado;año_inicio_comercialización;tipo;espacio_de_comercialización;corregimiento_o_barrio;sexo;inscrito_en_cedezo;tipo_de_inscripción;comuna;productos;"vereda"
activo;2016;productor;parque belén;santa elena;femenino;no se encuentra inscrito;directo;santa elena;frutas verduras horatalizas;"barro blanco"
activo;2017;productor;pilarica;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;hortalizas;"el llano"
activo;2017;productor-transformador;pilarica;santa elena;masculino;no se encuentra inscrito;directo;santa elena;hortalizas, cuajadas y quesitos;" piedras blancas"
activo;2017;transformador;laureles;santa elena;masculino;2. orientacion (ingreso al programa);directo;santa elena;panaderia artesanal;"san ignacio"
inactivo;2017;productor-transformador;inactivo;san sebastian de palmitas;masculino;no se encuentra inscrito;directo;san sebastian de palmitas;café, blanqueado y ransformados de panela;"la aldea"
inactivo;2017;productor;inactivo;santa elena;masculino;no se encuentra inscrito;directo;santa elena;planta y aromaticas;"no dato"
activo;2017;transformador;villa de aburrá;santa elena;masculino;2. orientacion (ingreso al programa);directo;santa elena;panaderia pan de origen;"piedra gorda"
inactivo;2017;productor;inactivo;san cristobal;masculino;no se encuentra inscrito;directo;san cristobal;granadilla, tomate arbol, uchua, mora, papa criolla, aromaticas;"san jose de la montaña"
inactivo;2017;transformador;inactivo;altavista;femenino;no se encuentra inscrito;directo;altavista;pepino agridulce, alitas de pollo rellenas, empanadas, pastel de pollo;"no dato"
activo;2017;productor-plantas;eventos;santa elena;femenino;no se encuentra inscrito;directo;santa elena;plantas aromaticas;"el placer"
inactivo;2017;transformador;inactivo;san antonio de prado;masculino;no se encuentra inscrito;directo;san antonio de prado;miel, polen, propoleo, jalea real, plantas, suculentas y aromaticas;"san josé de la montaña"
inactivo;2017;productor-transformador;inactivo;santa elena;masculino;no se encuentra inscrito;directo;santa elena;tamales;"santa elena"
