Ciudad;Ingresos;Costos;EBIT;Intereses;Utilidad_Neta;Activos
MEDELLIN-ANTIOQUIA;26647268;18935917;7711351;39903;792569;22313996
MEDELLIN-ANTIOQUIA;8020019;3506117;4513902;1980851;815018;48867752
MEDELLIN-ANTIOQUIA;14791710;14031716;759994;189457;-1478505;21575764
MEDELLIN-ANTIOQUIA;23280210;18945465;4334745;2542760;82696;24923131
MEDELLIN-ANTIOQUIA;10613669;8969263;1644406;0;134246;13943711
MEDELLIN-ANTIOQUIA;156912586;129062865;27849721;13299194;1391879;176467726
MEDELLIN-ANTIOQUIA;39229801;30642300;8587501;410196;3734048;18460290
MEDELLIN-ANTIOQUIA;63776749;45617907;18158842;7535257;-1232987;100865349
MEDELLIN-ANTIOQUIA;19708425;16170509;3537916;754663;305470;16680350
MEDELLIN-ANTIOQUIA;23135460;19514073;3621387;3820233;670270;52217312
MEDELLIN-ANTIOQUIA;891664330;515357815;376306515;6014035;45179326;408226690
MEDELLIN-ANTIOQUIA;0;0;0;1146;1564347;1842055
MEDELLIN-ANTIOQUIA;253103791;241040401;12063390;0;5670637;116410192
MEDELLIN-ANTIOQUIA;32382986;30696434;1686552;718131;66795;66405857
MEDELLIN-ANTIOQUIA;22436028;17863572;4572456;0;1028595;25461338
MEDELLIN-ANTIOQUIA;7334955;8969629;-1634674;98408;-2381517;3993577
MEDELLIN-ANTIOQUIA;12171077;10291932;1879145;133161;-553410;10798879
MEDELLIN-ANTIOQUIA;3266405;2782810;483595;343623;-394488;6806550
MEDELLIN-ANTIOQUIA;55781366;27484002;28297364;3080654;2392840;50249727
MEDELLIN-ANTIOQUIA;4904918;3688585;1216333;173073;220955;4311543
MEDELLIN-ANTIOQUIA;54513939;49046670;5467269;731020;1021489;173698575
MEDELLIN-ANTIOQUIA;7028600;5247194;1781406;0;202852;7452561
MEDELLIN-ANTIOQUIA;666756;550100;116656;18099;26734;4701390
MEDELLIN-ANTIOQUIA;134428491;106638397;27790094;2712294;2462450;129033365
MEDELLIN-ANTIOQUIA;4652126;0;4652126;35077;-929596;4624209
MEDELLIN-ANTIOQUIA;11154691;7804534;3350157;274285;-513684;25308271
MEDELLIN-ANTIOQUIA;31473088;26073503;5399585;370265;3342226;26456997
MEDELLIN-ANTIOQUIA;12831807;9414256;3417551;350816;765497;11017156
MEDELLIN-ANTIOQUIA;8974690;7801137;1173553;0;163910;12520237
MEDELLIN-ANTIOQUIA;17991804;10114622;7877182;408156;610052;44804109
MEDELLIN-ANTIOQUIA;111699652;59470093;52229559;4844583;4125272;118098087
MEDELLIN-ANTIOQUIA;119625055;93589374;26035681;2876550;10285710;124946839
MEDELLIN-ANTIOQUIA;413061;0;413061;0;526834;97214328
MEDELLIN-ANTIOQUIA;32474095;25649579;6824516;2927734;469393;237356135
MEDELLIN-ANTIOQUIA;157477508;120801593;36675915;3372684;18140073;186402621
MEDELLIN-ANTIOQUIA;1833441;2131870;-298429;24440;-83270;13940145
MEDELLIN-ANTIOQUIA;159038846;106549730;52489116;5327003;11653511;148999590
MEDELLIN-ANTIOQUIA;223055704;206034190;17021514;20921635;1208041;98117466
MEDELLIN-ANTIOQUIA;108784650;86124010;22660640;3386452;12919423;236066115
MEDELLIN-ANTIOQUIA;11964059;8267376;3696683;129574;-1079209;22966117
