Actividad;Departamento;Ingresos;Utilidad_operacional;Costos_financieros;Utilidad_neta;Activos;Pasivos;Ganancias_acumuladas
Frutas tropicales;BOGOTA D.C.;0;483195;190439;279731;6113235;3796408;-5599513
Frutas tropicales;BOGOTA D.C.;0;-81988;140791;-310171;9929055;3260008;-5879244
Platano y banano;ANTIOQUIA;18000;-4835;0;-6720;3508931;2217467;479364
Platano y banano;ANTIOQUIA;986041;19686;0;964;4411485;3035901;563484
Platano y banano;MAGDALENA;0;-9163;15861;-8424;5998370;861704;1065311
Platano y banano;MAGDALENA;0;-46333;1268787;-372746;4152662;34921;1073735
Frutas tropicales;ANTIOQUIA;7223559;3965645;630438;2169387;38970904;11055415;856113
Frutas tropicales;ANTIOQUIA;3062802;1313752;475344;818071;26658582;10098410;-1313274
Frutas tropicales;RISARALDA;522399;-3193986;0;-3008000;62556067;3372281;-5576802
Frutas tropicales;RISARALDA;14923;-2083404;0;-1919409;53062952;4181091;-2568802
Frutas tropicales;VALLE;0;-39494;0;-44444;3022573;32362;-239734
Frutas tropicales;VALLE;0;-116943;131;-114337;3042375;7720;-195290
Flor de corte;CUNDINAMARCA;12757593;323454;1354445;-1842176;20831189;10550474;5311934
Flor de corte;CUNDINAMARCA;11949485;965601;301336;974283;16814519;4691628;8128393
Flor de corte;BOGOTA D.C.;21610912;4547356;1969705;2355123;11582199;6047902;2915837
Flor de corte;BOGOTA D.C.;18843668;2088446;1091176;1033426;9179100;4295521;1731433
Platano y banano;ANTIOQUIA;4438350;189175;0;122620;13503146;5977355;6587793
Platano y banano;ANTIOQUIA;4179030;128501;0;79942;12206553;4876777;6473167
Cana de azucar;VALLE;3848202;196338;0;122204;6523089;5203876;794212
Cana de azucar;VALLE;3341133;-168334;0;-187938;6289541;5092532;672008
Platano y banano;ANTIOQUIA;22334434;800931;0;640309;78806671;22511095;49824026
Platano y banano;ANTIOQUIA;20773774;243055;0;181259;75430527;20236311;49212664
Platano y banano;ANTIOQUIA;8467602;227136;0;146790;16316339;7948234;7328059
Platano y banano;ANTIOQUIA;7205859;158067;0;98988;16646305;8424990;7191168
Platano y banano;ANTIOQUIA;180251;5804;108151;16862;13838451;5537447;7992004
Platano y banano;ANTIOQUIA;4648261;274047;164849;63204;13728334;5444192;7975142
Platano y banano;ANTIOQUIA;10613669;207150;0;134246;13943711;5623516;7579060
Platano y banano;ANTIOQUIA;8989309;132589;0;80272;15533567;7347618;7452841
Platano y banano;ANTIOQUIA;19708425;743461;754663;305470;16680350;7330258;5897116
Platano y banano;ANTIOQUIA;13778606;380456;0;207148;17047626;7115219;6479431
Platano y banano;ANTIOQUIA;23135460;923284;3820233;670270;52217312;21112808;26557861
Platano y banano;ANTIOQUIA;23710123;1250021;2617523;282580;52245700;21797503;26184134
Platano y banano;ANTIOQUIA;43671141;-170579;577857;-375618;42537964;15215893;26425382
Platano y banano;ANTIOQUIA;39018028;291768;486781;-1115;46779072;18661444;25935819
Flor de corte;ANTIOQUIA;4996566;1336063;268008;828829;13766814;4299306;1792877
Flor de corte;ANTIOQUIA;4358305;380260;258444;107983;12858509;4219830;974846
Flor de corte;ANTIOQUIA;4953868;71418;0;41478;4825386;1738063;1230626
Flor de corte;ANTIOQUIA;6774822;149334;0;86707;3081756;1406308;1189148
Platano y banano;ANTIOQUIA;8974690;237230;0;163910;12520237;2856935;8128074
Platano y banano;ANTIOQUIA;8102959;62802;0;39767;14407345;4935927;7967840
Platano y banano;ANTIOQUIA;17688856;2565913;156172;1718307;36568171;7589263;14340221
Platano y banano;ANTIOQUIA;14076218;1964852;123453;1406960;32617925;6002535;14028408
Platano y banano;MAGDALENA;11352205;1476764;318291;686643;14545082;8787216;1561969
Platano y banano;MAGDALENA;10842638;1222438;163778;690378;17212289;14173647;1168596
Platano y banano;MAGDALENA;18877836;211862;209777;-30747;30083496;6087701;2978109
Platano y banano;MAGDALENA;14114514;118498;1326;57316;28933187;10309907;3014588
Platano y banano;MAGDALENA;13017401;130363;43553;-104139;20382805;2478844;1446279
Platano y banano;MAGDALENA;21102593;29109;78308;-69717;16689570;4797685;1406242
Flor de corte;BOGOTA D.C.;22779343;5192680;2215240;2558640;13251426;7221410;3047626
Flor de corte;BOGOTA D.C.;21452389;3318074;1252827;1639578;10699163;7400722;2289559
Flor de corte;BOGOTA D.C.;25109996;3002797;2338903;1715571;11015150;7146844;1606425
Flor de corte;BOGOTA D.C.;20475022;-681779;1473245;-917362;11504126;9537251;-109146
Flor de corte;BOGOTA D.C.;1003121372;73629113;80325739;11955013;926744948;704000062;52367108
Flor de corte;BOGOTA D.C.;621183209;43008549;39236021;10031615;718903362;516281981;40412095
Flor de corte;BOGOTA D.C.;25433877;2069552;4046829;57738;28676084;20306019;2532897
Flor de corte;BOGOTA D.C.;22470560;-560875;1495670;-841007;29293274;21037822;2186606
Flor de corte;BOGOTA D.C.;279236865;66341343;74908668;30692674;204138235;142833314;32712134
Flor de corte;BOGOTA D.C.;233632746;30153490;41517758;16116384;184448742;139331749;18135844
Flor de corte;BOGOTA D.C.;10428613;-1645341;2134258;-2189604;19484969;14257487;2290919
Flor de corte;BOGOTA D.C.;12525191;721336;769963;-207211;15839233;8422147;4480523
Flor de corte;BOGOTA D.C.;22050435;3412304;2004075;1996801;14666834;7422747;4656428
Flor de corte;BOGOTA D.C.;22860275;2419868;796675;1451868;11408662;6161376;2804703
Flor de corte;BOGOTA D.C.;99493487;8440130;5863980;3984314;24735293;12921880;4787171
Flor de corte;BOGOTA D.C.;72581335;2911714;2722879;1988813;26682405;18892167;645562
Platano y banano;MAGDALENA;4969710;69574;50171;-8760;10941226;3244783;1534445
Platano y banano;MAGDALENA;4522579;150932;114461;12972;9336037;3313834;1544502
Flor de corte;BOGOTA D.C.;10060847;1218225;1189195;428207;8085971;7310268;440628
Flor de corte;BOGOTA D.C.;8814014;265627;338963;-17030;3307895;2960399;15693
Flor de corte;BOGOTA D.C.;40344413;2923302;6875;1952332;44708856;12632622;-2244742
Flor de corte;BOGOTA D.C.;40694278;1882699;49017;1157467;40766562;10005869;-4315575
Flor de corte;CUNDINAMARCA;29152131;3753134;4310709;514794;18007394;10583836;5229260
Flor de corte;CUNDINAMARCA;30396061;5508021;983083;2959374;15262869;8362963;4716378
Flor de corte;CUNDINAMARCA;10939543;-289983;430184;68880;41541802;3613930;2334767
Flor de corte;CUNDINAMARCA;12664218;-99279;265748;-66953;41225682;3366690;2198934
Platano y banano;ANTIOQUIA;30358023;3443301;0;2146813;43125435;10598196;13438292
Platano y banano;ANTIOQUIA;26660294;2945950;14637;1916612;39247465;8867047;13208090
Flor de corte;BOGOTA D.C.;33590709;4530005;4528017;4307204;27892951;13286614;13998122
Flor de corte;BOGOTA D.C.;30993220;287978;2952051;567944;18939683;8620186;9711282
Flor de corte;BOGOTA D.C.;24360764;1064350;1253709;-256616;29187189;29040962;-387905
Flor de corte;BOGOTA D.C.;33826834;687331;691737;-81872;25643205;25240362;-131289
Flor de corte;BOGOTA D.C.;15545368;2519430;2488457;582757;7299070;2710342;3575976
Flor de corte;BOGOTA D.C.;14656556;2188039;2065049;451908;6760890;2754919;2993219
Flor de corte;CUNDINAMARCA;12445582;619923;91559;304462;20489120;8736354;8163029
Flor de corte;CUNDINAMARCA;12804688;-199005;271463;-404981;16232853;3761635;8881481
Flor de corte;BOGOTA D.C.;33043631;4401567;195240;1682105;31337961;10669020;20262940
Flor de corte;BOGOTA D.C.;33127664;1724550;201227;1905788;28397072;9410236;18580835
Flor de corte;BOGOTA D.C.;28735877;3698391;1910383;2178009;14791082;5102851;9283231
Flor de corte;BOGOTA D.C.;29464429;2497908;593365;1328961;13392056;5902609;7084447
Café;BOGOTA D.C.;3620827;537616;2098080;-343548;44450153;14300425;-1385298
Café;BOGOTA D.C.;4601808;6680;620701;-512125;43705106;13211830;-1041750
Cana de azucar;VALLE;5010228;699387;0;452885;17394457;10784865;2022556
Cana de azucar;VALLE;3525213;298274;0;126697;15466193;9309486;1569671
Platano y banano;ANTIOQUIA;28850905;563056;0;421947;51259120;15341908;33627474
Platano y banano;ANTIOQUIA;27286586;523684;0;439273;50360544;14229499;33952357
Platano y banano;ANTIOQUIA;33994475;148154;1765216;-866260;106508822;37323309;25818773
Platano y banano;ANTIOQUIA;33204671;1850013;1183416;601771;96700132;32409199;20269282
Flor de corte;ANTIOQUIA;15807598;-3974282;3823140;-5094907;37717872;7451319;27863192
Flor de corte;ANTIOQUIA;25338939;5191530;2576620;1777585;45522666;10161205;32958100
Flor de corte;ANTIOQUIA;26434591;3224775;504567;1266259;42862290;13046796;22532357
Flor de corte;ANTIOQUIA;27632586;3656170;1228397;1506496;40144028;11594793;21266098
Platano y banano;ANTIOQUIA;33874110;2162404;999383;1231543;42801694;16915547;17345582
Platano y banano;ANTIOQUIA;26492380;-1664083;652139;-1777385;39243490;16970500;16114039
Platano y banano;ANTIOQUIA;5379164;1086112;1120;774149;8984315;1331136;4523874
Platano y banano;ANTIOQUIA;4757045;395737;534;245306;8054872;1175843;3995030
Cana de azucar;VALLE;3870239;1299186;9667;1141707;62816047;633300;1238315
Cana de azucar;VALLE;3239643;2728510;18140;2682840;69576514;1146461;2782860
Arroz;BOGOTA D.C.;21195099;2251140;873599;702016;54451151;21030642;15770962
Arroz;BOGOTA D.C.;12384842;1394201;967985;173955;47125306;14406813;15068946
Platano y banano;MAGDALENA;6704186;42433;124279;-161782;51269040;18896773;-14996222
Platano y banano;MAGDALENA;16186081;-5449886;348810;-5592368;48588712;21342563;-14834440
Platano y banano;ANTIOQUIA;12433822;210456;0;126815;17814615;7695717;8558937
Platano y banano;ANTIOQUIA;9995760;147987;0;94721;16595894;6603811;8441594
Platano y banano;ANTIOQUIA;4236755;132904;0;99380;10571194;1613341;8591232
