edad;sexo;actividad;comuna
70;hombre;servicios;13
38;hombre;servicios;15
70;hombre;comercio;6
71;hombre;produccion;6
71;hombre;servicios;7
70;hombre;comercio;5
71;hombre;comercio;9
70;mujer;servicios;10
71;hombre;comercio;8
69;hombre;servicios;16
69;hombre;servicios;6
70;hombre;comercio;6
72;hombre;comercio;5
68;hombre;comercio;7
67;hombre;comercio;10
68;hombre;comercio;10
68;hombre;produccion;3
69;hombre;produccion;3
70;hombre;comercio;1
70;hombre;comercio;3
66;hombre;produccion;9
67;hombre;servicios;9
67;hombre;comercio;3
65;hombre;servicios;4
67;hombre;comercio;4
65;hombre;comercio;4
48;hombre;comercio;10
65;hombre;comercio;12
66;hombre;comercio;9
61;hombre;comercio;3
58;hombre;comercio;13
52;hombre;comercio;1
51;hombre;comercio;3
53;hombre;comercio;3
52;hombre;servicios;7
48;hombre;comercio;1
46;hombre;comercio;10
67;hombre;servicios;14
67;hombre;servicios;6
67;hombre;comercio;80
51;hombre;comercio;4
33;mujer;comercio;7
34;hombre;comercio;8
33;hombre;comercio;3
33;hombre;comercio;2
61;hombre;comercio;9
61;hombre;produccion;60
60;hombre;comercio;9
62;hombre;produccion;8
55;hombre;comercio;80
56;hombre;comercio;1
53;hombre;comercio;7
65;hombre;comercio;1
66;hombre;comercio;1
61;hombre;comercio;4
62;hombre;comercio;5
53;hombre;servicios;13
52;hombre;comercio;1
49;hombre;servicios;1
51;hombre;comercio;10
45;hombre;comercio;7
48;hombre;produccion;6
45;hombre;comercio;3
41;hombre;comercio;4
43;hombre;comercio;4
42;hombre;servicios;1
71;hombre;servicios;80
64;hombre;comercio;10
68;hombre;comercio;9
38;hombre;comercio;12
42;hombre;comercio;2
60;hombre;comercio;5
36;mujer;comercio;6
39;hombre;comercio;80
36;hombre;comercio;12
35;mujer;comercio;1
22;mujer;comercio;6
35;hombre;comercio;1
34;hombre;comercio;13
69;hombre;comercio;5
59;hombre;comercio;10
59;hombre;comercio;10
50;hombre;produccion;16
43;mujer;produccion;13
35;hombre;comercio;10
46;hombre;comercio;3
48;hombre;comercio;3
38;hombre;produccion;50
63;hombre;comercio;5
63;mujer;comercio;10
56;hombre;comercio;80
48;hombre;comercio;8
41;hombre;comercio;9
65;hombre;servicios;13
67;hombre;servicios;13
53;hombre;comercio;9
54;hombre;comercio;10
50;hombre;comercio;10
39;hombre;comercio;13
52;hombre;comercio;7
37;hombre;comercio;1
38;hombre;comercio;1
19;hombre;comercio;8
36;hombre;comercio;12
35;hombre;servicios;16
52;hombre;servicios;4
49;hombre;comercio;9
34;hombre;produccion;16
47;hombre;comercio;90
48;hombre;comercio;60
55;hombre;produccion;6
49;hombre;produccion;5
45;hombre;servicios;2
43;hombre;produccion;9
61;hombre;comercio;1
61;hombre;produccion;3
51;hombre;comercio;7
48;hombre;comercio;7
48;hombre;produccion;1
68;hombre;comercio;10
56;hombre;comercio;5
43;hombre;produccion;5
39;hombre;comercio;7
65;hombre;comercio;7
68;hombre;comercio;7
63;hombre;produccion;1
62;hombre;servicios;8
59;hombre;comercio;6
56;hombre;comercio;6
53;hombre;servicios;10
36;hombre;comercio;7
34;hombre;produccion;7
34;hombre;produccion;8
38;hombre;comercio;10
37;hombre;comercio;7
38;hombre;comercio;3
48;hombre;comercio;8
41;hombre;comercio;13
57;hombre;comercio;10
58;hombre;servicios;10
53;hombre;comercio;8
41;hombre;comercio;4
37;hombre;produccion;9
58;hombre;comercio;90
48;hombre;servicios;80
50;hombre;comercio;1
41;hombre;comercio;1
38;mujer;comercio;7
39;hombre;servicios;9
39;mujer;servicios;10
38;hombre;produccion;4
40;mujer;servicios;13
38;hombre;produccion;3
55;hombre;produccion;16
37;hombre;servicios;7
51;hombre;produccion;9
53;hombre;produccion;13
54;hombre;servicios;3
44;hombre;comercio;1
38;hombre;comercio;7
32;hombre;comercio;3
47;hombre;comercio;60
66;hombre;produccion;10
65;hombre;produccion;5
49;hombre;comercio;3
51;hombre;comercio;9
36;hombre;servicios;16
56;hombre;servicios;9
47;hombre;comercio;10
34;hombre;comercio;4
67;hombre;comercio;8
37;hombre;servicios;16
61;hombre;comercio;2
62;hombre;comercio;2
66;hombre;comercio;11
34;hombre;comercio;5
64;hombre;comercio;8
66;hombre;comercio;8
66;hombre;comercio;1
34;hombre;produccion;1
64;hombre;comercio;4
28;hombre;comercio;13
45;hombre;comercio;50
42;hombre;comercio;5
33;hombre;servicios;16
66;hombre;comercio;10
55;hombre;produccion;60
35;hombre;servicios;8
36;hombre;comercio;4
68;hombre;comercio;1
57;hombre;comercio;3
68;hombre;comercio;1
57;hombre;produccion;7
59;hombre;produccion;7
56;hombre;servicios;9
52;hombre;comercio;10
49;hombre;produccion;1
45;hombre;comercio;1
42;hombre;comercio;5
61;hombre;produccion;4
53;hombre;comercio;4
48;hombre;servicios;13
46;hombre;comercio;7
31;hombre;comercio;10
46;hombre;servicios;6
36;hombre;servicios;12
47;hombre;comercio;6
65;hombre;comercio;90
66;hombre;comercio;4
63;hombre;produccion;3
35;hombre;comercio;16
32;hombre;comercio;8
34;hombre;comercio;8
34;hombre;comercio;4
33;hombre;comercio;10
32;hombre;servicios;2
32;hombre;comercio;4
32;hombre;servicios;13
35;hombre;produccion;6
33;hombre;produccion;16
34;hombre;comercio;2
32;hombre;comercio;4
32;hombre;servicios;4
34;hombre;comercio;9
33;hombre;servicios;1
33;hombre;comercio;4
33;hombre;comercio;4
32;hombre;comercio;4
34;hombre;produccion;4
54;hombre;comercio;12
42;hombre;produccion;1
39;hombre;comercio;9
34;hombre;comercio;10
36;hombre;comercio;10
57;mujer;servicios;10
55;hombre;produccion;90
53;hombre;servicios;4
47;hombre;comercio;10
63;hombre;comercio;3
42;hombre;comercio;4
56;hombre;servicios;2
58;hombre;servicios;10
43;hombre;produccion;3
38;hombre;produccion;9
64;hombre;comercio;80
63;hombre;produccion;60
59;hombre;comercio;2
60;hombre;comercio;5
57;hombre;comercio;60
60;hombre;comercio;60
59;hombre;comercio;7
56;hombre;servicios;6
52;hombre;comercio;6
49;hombre;servicios;4
51;hombre;produccion;13
49;hombre;comercio;7
48;hombre;servicios;9
49;hombre;produccion;4
48;hombre;comercio;3
51;hombre;comercio;4
43;hombre;comercio;10
41;hombre;produccion;70
39;hombre;comercio;10
60;hombre;servicios;4
57;hombre;servicios;4
50;hombre;comercio;16
47;hombre;comercio;90
45;hombre;comercio;4
46;hombre;comercio;2
43;mujer;comercio;2
45;hombre;comercio;2
